id,Mention_country,treated,log_count,log_gdp,log_population,log_Rpop,pretrend_slope,log_count_bin,log_gdp_bin,log_population_bin,log_Rpop_bin,pretrend_slope_bin,stratum,n_control,n_treated,cem_w
107,pri,0.0,4.116670097667324,10.026878704071688,15.147797891345375,7.282063183392769,0.11088122738784964,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]|(-0.75, 0.75]",5,3,0.6
109,pry,0.0,1.938861104965682,7.836465871231013,15.525399410089417,5.032296319666057,0.1363237761079734,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
112,rou,0.0,4.97011618889134,8.57565572683673,16.861344980473348,9.447449466496996,0.2584457574988097,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(1.5, inf]",4,1,0.25
116,sen,0.0,4.101893957626245,6.964117345669364,16.238194936519758,7.027595944124795,0.024220806988226234,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]",3,1,0.3333333333333333
121,svk,0.0,5.385363883689833,9.441370196069471,15.497787480454232,9.03361386484022,0.08425343078485259,"(-0.75, 0.75]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]|(-0.75, 0.75]",5,3,0.6
122,svn,0.0,5.255606530231287,9.879202937952087,14.515386489479669,8.814321433414971,0.1236646046607055,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]|(-0.75, 0.75]",5,3,0.6
124,syr,1.0,3.3494730591979462,8.959962729557288,16.791303680593153,6.194762702247958,0.1075293461318588,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,1.0
130,tto,0.0,2.947300383456648,9.40392706008139,14.13553387272524,6.33703524215958,0.10150844033789347,"(-0.75, 0.75]","(0.75, 1.5]","(-inf, -1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]|(-0.75, 0.75]",5,3,0.6
131,tun,1.0,5.3410441616634206,8.110634709046764,16.165453753849526,9.013219121295,0.2099884041668361,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(1.5, inf]",4,1,1.0
135,ukr,0.0,4.286292793778923,7.631224832267012,17.663281898846186,9.655312910770197,0.05891731111498371,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]",1,1,1.0
136,ury,0.0,3.983501905199753,8.748756833081655,15.017203188832926,7.476355702805004,0.10894475205047569,"(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
139,ven,0.0,5.558258067725209,8.814736538563851,17.11304376685811,8.665233765664127,0.10675581302280002,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
141,yem,1.0,3.0126155006731503,6.733423307620998,16.906847258839697,5.404255150043217,0.1176615190867481,"(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]|(-0.75, 0.75]",2,1,1.0
